JudgeFullName,Summary
Cliff I. Davidson,"Environmental transport and fate of air pollutants, especially lead and other toxic metals as well as sulfate and other inorganic acids; Measurement and modeling of atmospheric dry and wet deposition of pollutants; Human perceptions of energy use from day-to-day activities; Assessment of performance of green infrastructure for stormwater management; Protection of cities from extreme weather events due to climate change |  | 1. **Technical Expertise:** Professor Cliff I. Davidson's expertise spans various areas within environmental engineering, particularly focusing on air quality, aerosol science, and green infrastructure for stormwater management. His methodologies include statistical analysis, thermodynamic modeling, and likely experimental methods given his work with air pollution.  His publications suggest a strong background in data analysis and modeling, as well as field research.

2. **Research Applications:**  His research has practical applications in urban planning and environmental policy, particularly in mitigating the impacts of stormwater runoff and improving air quality. While specific patents are not readily apparent from readily available online sources, his work on green infrastructure directly translates to practical solutions for sustainable urban development. His research on air pollution has clear implications for public health and environmental regulation.

3. **Specialized Knowledge:**  Professor Davidson's work with green infrastructure for stormwater management suggests expertise in hydrological modeling and the design and implementation of sustainable urban drainage systems (SUDS).  His research on air pollution likely involves the use of specialized equipment for sampling and analyzing airborne particulate matter and other pollutants.  Specific equipment used is not explicitly stated in easily accessible materials.

4. **Interdisciplinary Impact:**  His research bridges several disciplines, including environmental engineering, public health, urban planning, and potentially public policy. The application of his work to urban settings necessitates collaboration with experts in urban design and community planning.  His research concerning the impacts of air quality on human health demonstrates a clear connection to public health and epidemiology.

5. **Active Projects:** Professor Davidson is currently studying the performance of green infrastructure for stormwater management, focusing specifically on the Convention Center Green Roof in Syracuse. Further details on specific funding grants and other projects would require access to Syracuse University's internal grant databases or detailed publications lists.  His Google Scholar profile provides a list of his publications, offering insights into past and potentially ongoing research."
Gabriel Silva De Oliveira,"Introductory Programming Instruction; Introductory Computer Science Education; Coding Struggle; Computer Science Education; I have spent my academic career studying Introductory Computer Science Education, and my PhD thesis covered how to understand and define coding struggle in CS2 programming courses. I have also previously taught CS1 and CS2 courses. Part of my teaching experience showed me how historically underrepresented populations are affected by a lack of Computer Science experience when taking introductory courses, and my goal is to create an environment where every student can be successful. | Gabriel Silva de Oliveira et al., 2024.Exploring Novice Programmers’ Testing Behavior: A First Step to Define Coding Struggle. In Proceedings of the 55th ACM Technical Symposium on Computer Science Education V. 1 (SIGCSE 2024). Association for Computing Machinery, New York, NY, USA, 1251–1257. https://doi.org/10.1145/3626252.3630851 | 1. Technical Expertise:  Research methodologies in introductory computer science education, focusing on understanding and defining ""coding struggle,""  data mining techniques (specifically investigating data discretization for Naive-Bayes Classification), and development of models of polymorphism comprehension.

2. Research Applications:  Research primarily focuses on improving computer science education. While no patents are explicitly mentioned, the research aims to create practical applications by improving student learning and understanding in introductory programming.

3. Specialized Knowledge:  Expertise in identifying and analyzing ""coding struggle"" in novice programmers, using methods like analyzing testing behavior.  Uses data mining techniques, including data discretization, to improve the accuracy of Naive-Bayes classification. Develops models to understand student comprehension of polymorphism.

4. Interdisciplinary Impact: While primarily focused on computer science education, the research indirectly connects to fields like cognitive science (understanding learning processes), educational psychology (pedagogical approaches), and potentially software engineering (improving software testing practices).

5. Active Projects: Current research at Syracuse University focuses on introductory programming instruction and computer science education.  Past research involved data mining at North Carolina State University.  Funding sources and specific grant details are not readily available from the provided sources."
Alexander Deyhim,"Fundamentals of engineering; Engineering design/project management; Entrepreneurship; Prof. Deyhim brings three decades of industry and entrepreneurship experience to SU. After working as an engineer for Ford Motor Company, he founded Advanced Design Consulting (ADC) USA Inc. in Lansing, NY. For over 25 years, he managed contracts with government laboratories, international organizations and academic institutions designing complex scientific instruments. Clients included NASA, Argonne National Laboratory, ITER, Army Special Forces and similar organizations in more than 26 countries around the world.; He has a passion for bringing his industry experience and expertise into the classroom and especially enjoys guiding students in the design and delivery of innovative technical projects. He has a vast network of industry partners who are eager to work with engineering students. In his previous role as Associate Director of the MSE M.Eng. Program at Cornell University, Prof. Deyhim recruited a number of leading technical companies, including Satomer, ams, Applied Materials, Boeing, Borg Warner, Corning, Moog, Intel, Exxon Mobile and Universal Instruments, to provide hands-on projects for his students. Prof. Deyhim looks forward to continuing to build industry partnerships to create amazing opportunities for the MAE students at Syracuse University. |  | 1. Technical Expertise: Based on his publications on Google Scholar and ResearchGate, Professor Deyhim's expertise includes neutron scattering, X-ray diffraction, synchrotron radiation,  instrument design (specifically for imaging and collimation), and EUV microscopy.  His work involves developing novel instrumentation and methodologies for advanced materials characterization.

2. Research Applications: His research has applications in materials science, particularly in the development of advanced materials and semiconductor technology.  He holds patents related to X-ray diffraction apparatus,  white beam slits, and other instrumentation used in synchrotron-based research.  These patents suggest practical applications in improved imaging and analysis techniques.

3. Specialized Knowledge:  Professor Deyhim's specialized knowledge lies in the design and construction of sophisticated instrumentation for material characterization using synchrotron radiation and neutron scattering.  He works with specialized equipment including synchrotron-based extreme ultraviolet (EUV) microscopes and neutron scattering instruments.  He possesses expertise in vacuum systems and precision mechanics.

4. Interdisciplinary Impact: His research bridges multiple disciplines, including mechanical engineering, materials science, physics, and potentially biomedical engineering due to the broad applications of imaging technology.  His involvement in entrepreneurial leadership indicates an engagement with business and technology transfer.

5. Active Projects:  His current research initiatives are not explicitly listed in easily accessible sources,  but his involvement with EUV microscopy at Syracuse University suggests ongoing work in advanced imaging and semiconductor technology.  Information regarding specific funding grants is also not readily available through these searches."
Rick DiRubbo," |  | 1. Technical Expertise: Expertise in online learning pedagogy, educational technology, curriculum design for online environments, learning management systems (LMS) administration and integration, and potentially instructional design methodologies.

2. Research Applications:  No evidence of research leading to patents or direct practical applications in the traditional sense; however, his work in online learning directly impacts the practical application of education and skill development in digital spaces.  This has broad implications for accessibility and scalability of educational programs.

3. Specialized Knowledge:  Likely possesses deep knowledge of various Learning Management Systems (LMS), online assessment tools, virtual collaboration platforms, and accessibility features for online learning.  Expertise in analyzing student learning data in online environments.

4. Interdisciplinary Impact:  His work intersects with computer science (technology development and integration), instructional design (pedagogical approaches), educational psychology (learning theory application), and potentially business administration (managing online programs).

5. Active Projects:  His current role as Director of Online Learning suggests involvement in developing and implementing online courses, programs, and initiatives within Syracuse University's College of Engineering and Computer Science.  Specific projects and grants would require accessing internal university resources not available via public internet searches."
Karen Dixon-Cherebin," |  | 1. Technical Expertise:  Unable to determine.  No evidence of research activity found.
2. Research Applications:  None identified.
3. Specialized Knowledge: None identified.
4. Interdisciplinary Impact:  None identified.
5. Active Projects:  None identified."
Bing Dong," |  | 1. **Technical Expertise:** Building energy performance simulation, occupancy behavior modeling, Building Information Modeling (BIM), smart building systems, cyber-physical energy systems,  modeling and optimization of urban energy systems.  Methodologies include utilizing data analysis, simulation software, and potentially machine learning techniques for predictive modeling and optimization.

2. **Research Applications:**  Prof. Dong's research focuses on improving the energy efficiency and sustainability of buildings and urban areas.  Practical applications include designing more energy-efficient buildings, optimizing building operations, and developing smart building technologies.  No specific patents were readily identifiable from the sources, but his research directly contributes to advancements in building technology.

3. **Specialized Knowledge:** Prof. Dong's expertise lies in the integration of various disciplines (building engineering, computer science, data analytics)  to create smart building systems.  He likely uses specialized software for building energy simulation (e.g., EnergyPlus, TRNSYS) and BIM software (e.g., Revit, ArchiCAD) in addition to data analytics tools (specific tools are not explicitly mentioned in readily available information).  His work with urban-scale cyber-physical energy systems suggests familiarity with advanced data management and network analysis tools.

4. **Interdisciplinary Impact:** His research bridges mechanical and aerospace engineering, computer science, urban planning, and potentially economics (in optimizing energy costs).  The focus on smart buildings and urban energy systems indicates strong interdisciplinary collaborations.

5. **Active Projects:** While specific grant information isn't readily available from quick searches,  his current research focuses on exploring how smart buildings play an active role in urban-scale cyber-physical energy systems. His Google Scholar profile and Syracuse University page should contain more details on current and past projects and grants but require more in-depth analysis beyond a quick search.  He is an IBPSA (International Building Performance Simulation Association) World Fellow, indicating recognition of his impactful work."
Charles T. Driscoll,"Biogeochemistry; Climate change science and engineering; Environmental quality modeling; Ecosystem restoration; Limnology | Driscoll, C. T., J. B. Milford, D. K. Henze and M. D. Bell. In press. Atmospheric reduced nitrogen: sources, transformations, effects, and management. Journal of Air & Waste Management Association. doi: 10.1080/10962247.2024.2342765.; Marchese, M. J., J. R Gerson, A. J. Berky, C. T. Driscoll, L. E. Fernandez, H. Hsu-Kim, K. N. Lansdale, E. Letourneau, M. R. Montesdeoca, W. K. Pan, E. Robie, C. Vega and E. S Bernhardt. 2024. Human health risks of mercury exposure in gold mining regions of Peru depend on diet choices. Environmental Health Perspectives. doi: 10.1088/2752-5309/ad3d79.; Adams, E., J. E. Gulka, Y. Yang, M. E. Burton, D. A. Burns, V. Buxton, L. Cleckner, C. Desorbo, C. T. Driscoll, D. C. Evers, N. Fisher, O. Lane, H. Mao, K. R. Murray, G. Millard, R. Razavi, W. Richter, A. Sauer and N. Schoch. 2023. Distribution and trends of mercury in aquatic and terrestrial biota of New York, USA: a synthesis of 50 years of research and monitoring. Ecotoxicology, 32:959-976. doi: 10.1007/s10646-023-02704-0.; Brannon, M., A. C. A. Scholz, C. T. Driscoll. 2023. Shallow sediments as a phosphorus reservoir in an oligotrophic lake: Linkages to harmful algal blooms. Journal of Geophysical Research-Biogeosciences, 128:e2022JG007029. doi:10.1029/2022JG007029.; Caron, S., S. M. Garvey, J. Gewirtzman, K. Schultz, J. M. Bhatnagar, C. T. Driscoll, L. Hutyra, P. H. Templer. 2023. Urbanization and fragmentation have opposite effects on soil nitrogen availability in temperate forest ecosystems. Global Change Biology, 29:2156-2171. doi:10.1111/gcb.16611.; Contosta, A., J. Battles, J. L. Campbell, C. T. Driscoll, S. Garlick, R. T. Holmes, G. Likens, N. Rodenhouse, S. Rogers, P. Templer, M. Vadeboncoeur and P. Groffman. 2023. Early warning signals of change suggest declining resilience in the biology and biogeochemistry of a northern hardwood forest. Environmental Research Letters, 19(9):094052. doi: 10.1088/1748-9326/acf3fe.; E. B., S. Zhang, C. T. Driscoll and T. Wen. 2023. Human and natural impacts on the U.S. freshwater salinization and alkalinization: A machine learning perspective. Science of the Total Environment, 889:164138. doi:10.1016/j.scitotenv.2023.164138.; Gilliam, F., D. A. Burns, S. Watmough, S. Frey and C. T. Driscoll. 2023. Chapter 12 in Atmospheric nitrogen deposition to global forests spatial variation, impacts, and management implications. E. Du and W. Vries (Ed.). Academic Press, ISBN: 9780323911405.; Green, M. B, L. H. Pardo, J. L. Campbell, E. Rosi, E. S. Bernhardt, C. T. Driscoll, T. J. Fahey, N. LoRusso, J. Matthes, P. H. Templer. 2023. Combination of factors rather than single disturbance drives perturbation of the nitrogen cycle in a temperate forest. Biogeochemistry. doi:10.1007/s10533-023-01105-z; Marinos, R. E., P. M. Groffman, C. T. Driscoll, E. S. Bernhardt.2023. Accelerated soil nitrogen cycling in response to a whole ecosystem acid rain mitigation experiment. Soil Biology and Biochemistry. doi:10.2139/ssrn.4579996.; McDonnell, T. C., J. Phelan, A. F. Talhelm, B. J. Cosby, C. T. Driscoll, T. J. Sullivan and T. Greaver. 2023. Protection of terrestrial ecosystems in the Eastern United States from elevated atmospheric deposition of sulfur and nitrogen: A comparison of steady-state and dynamic model results. Environmental Pollution, 318:120887. doi:10.1016/j.envpol.2022.120887.; Miller, H. R., C. T. Driscoll and E.-L. S. Hinckley. 2024. Mercury cycling in the U.S. Rocky Mountains: a review of past research and future priorities. Biogeochemistry. 167(1):1-20. doi:10.1007/s10533-023-01108-w.; Ontman, R., P. Groffman, C. T. Driscoll and Z. Cheng. 2023. Surprising relationships between soil pH and microbial biomass and activity in a northern hardwood forest. Biogeochemistry, 163:265-277. doi:10.1007/s10533-023-01031-0.; Rindy, J. E., E. A. Pierce, J. Geddes, S. M. Garvey, J. Gewirtzman, C. T. Driscoll, L. R. Hutyra, P. H. Templer. 2023. Effects of urbanization and forest fragmentation on atmospheric nitrogen inputs and ambient nitrogen oxide and ozone concentrations in mixed temperate forests. Journal of Geophysical Research – Biogeosciences. doi:10.1029/2023JG007543. | 1. **Technical Expertise:**  Dr. Driscoll's expertise lies in environmental chemistry, biogeochemistry, and water quality modeling.  His methodologies involve field studies (like those conducted at Hubbard Brook Experimental Forest), laboratory analyses of water and soil samples, and the development and application of biogeochemical models to understand ecosystem responses to disturbances.  His research often involves the characterization and quantification of impacts from air pollution (acid rain, mercury, etc.). Techniques include advanced analytical chemistry methods, statistical analysis, and ecosystem modeling.

2. **Research Applications:** Dr. Driscoll's research has significant practical applications in environmental management and policy. His work on acid rain, for example, has informed environmental regulations and remediation strategies. While specific patents are not readily apparent from readily available sources, his research directly informs best practices for water quality management and ecosystem health protection.  His work contributes to the understanding and mitigation of numerous environmental problems.

3. **Specialized Knowledge:** Dr. Driscoll's specialized knowledge includes expertise in long-term ecological research (LTER), particularly his long association with the Hubbard Brook Experimental Forest. This provides access to unique long-term datasets crucial for understanding ecosystem dynamics. He utilizes advanced analytical chemistry instrumentation and techniques for analyzing environmental samples (water, soil, air).  His modeling expertise provides a quantitative framework for understanding complex biogeochemical processes.

4. **Interdisciplinary Impact:**  Dr. Driscoll's research bridges various disciplines, including environmental engineering, environmental science, ecology, chemistry, and atmospheric science. His work on the effects of atmospheric deposition integrates knowledge from meteorology, atmospheric chemistry, and ecosystem ecology.  The implications of his research extend to forestry, fisheries, and public health.

5. **Active Projects:** Specific details on current funding grants and projects would require accessing more detailed information from Syracuse University's research database or Dr. Driscoll's personal website/publications.  His ongoing research likely focuses on the impacts of climate change and nutrient pollution on ecosystems, given his established research interests and the prominence of these issues in environmental science.  His Google Scholar profile and university webpage will contain the most up-to-date information on current projects and grants."
Victor Duenas,"Nonlinear and Adaptive Control; Rehabilitation Robotics; Powered Exoskeletons; Functional Electrical Stimulation (FES) | C. Chang, J. Casas, A. Sanyal, and V. H. Duenas, “Motorized FES-Cycling and Closed-Loop Nonlinear Control for Power Tracking using a Finite-Time Stable Torque Algorithm,”Front. Control Eng.,Vol. 3, Article 910126,August 2022, doi: 10.3389/fcteg.2022.910126.; C. Chang, J. Casas, S. Brose, and V. H. Duenas, “Closed-loop Torque and Kinematic Control of a Hybrid Lower-limb Exoskeleton for Treadmill Walking,”Front. Robot. AI,Vol. 8, Article 702860, January 2022, doi: 10.3389/frobt.2021.702860.; C. Cousin, V. H. Duenas, and W. E. Dixon, “FES Cycling and Closed-Loop Feedback Control for Rehabilitative Human-Robot Interaction,”Robotics, Vol. 10, No. 61, 2021, doi.org/10.3390/robotics10020061.; V. H. Duenas, C. Cousin, V. Ghanbari, E. J. Fox, and W. E. Dixon, “Torque and Cadence Tracking in Functional Electrical Stimulation Induced Cycling using Passivity-Based Spatial Repetitive Learning Control,”Automatica,Vol. 115, May 2020, DOI:10.1016/j.automatica.2020.108852. | 1. Technical Expertise: Nonlinear and adaptive control, rehabilitation robotics, powered exoskeletons, functional electrical stimulation (FES), closed-loop control, human-robot interaction, control theory, neuromuscular control.  He utilizes robust control strategies and designs controllers for various applications.  His expertise includes the design, analysis, and implementation of intelligent closed-loop control methods for physical human-robot interaction.

2. Research Applications: His research focuses on improving rehabilitation and therapy for stroke survivors, specifically using exoskeletons and FES.  He has worked on projects involving FES cycling and closed-loop feedback control for rehabilitative purposes and on the control of a powered lower-limb exoskeleton for assisted walking.  While specific patents are not explicitly listed in readily available sources, his research directly contributes to advancements in rehabilitation engineering and robotics.  The application of his work is evident in the improvement of assistive devices and therapies for mobility impairments.


3. Specialized Knowledge: He works with powered lower-limb exoskeletons and FES systems. His work involves a deep understanding of neuromuscular control and the integration of robotics with FES for rehabilitation. The development and implementation of nonlinear and adaptive control strategies for these systems also point to his unique skillset.


4. Interdisciplinary Impact: His research bridges mechanical engineering, control systems, biomedical engineering, and rehabilitation medicine. His work combines elements of robotics, control theory, and physiology to address problems in rehabilitation.


5. Active Projects: While specific current grant information isn't readily available through the initial web searches, his affiliation with Syracuse University and ongoing publications indicate that he remains actively involved in research within rehabilitation robotics and control systems.  His expertise suggests ongoing projects focused on improving exoskeleton control, enhancing FES therapies, and advancing human-robot interaction in rehabilitation contexts.  Further investigation into grant databases would provide more detailed insights into his current funding and research projects."
Alex Dunbar," |  | 1. Technical Expertise: Applied algebraic geometry, real algebraic geometry, optimization, machine learning, sums of squares methods, tropical geometry, alternating minimization techniques for regression with tropical rational functions.  His work involves theoretical and computational approaches to solving optimization problems using algebraic techniques.

2. Research Applications:  While specific patents aren't readily apparent from the available online information, his research in optimization and machine learning has clear practical applications in various fields requiring efficient algorithms for data analysis and decision-making.  His work on regression with tropical rational functions has potential applications in areas such as signal processing and machine learning.

3. Specialized Knowledge:  He uses algebraic and geometric structures to solve optimization problems.  His expertise lies in the application of advanced mathematical techniques to practical problems in computer science and other related fields.  Specific software or tools are not explicitly mentioned.

4. Interdisciplinary Impact: His research bridges mathematics (algebraic geometry) and computer science (optimization, machine learning).  The applications of his work extend to other fields depending on the specific optimization problem being addressed.

5. Active Projects: Based on publications and preprints, he is actively involved in research on alternating minimization for regression with tropical rational functions and the application of sums of squares methods.  His affiliation with Emory University's mathematics department suggests ongoing involvement in research grants and projects within that department.  Further details on specific funding require access to grant databases or university resources beyond the scope of this search."
Jennifer Duque," |  | 1. Technical Expertise: Taxonomy, systematics, morphology, phylogenetics, biodiversity analysis of beetles (specifically Neotropical broad-nosed weevils and water scavenger beetles).  Uses methods such as morphological examination, phylogenetic analysis, and potentially molecular techniques (DNA sequencing etc., although this is not explicitly stated).

2. Research Applications:  Her research contributes to a better understanding of beetle biodiversity and evolution.  No patents are explicitly mentioned in the readily available information.  Practical applications include contributions to conservation efforts, biological control strategies (depending on the specific species studied), and advancements in taxonomic databases.

3. Specialized Knowledge: Expertise in Neotropical beetle taxonomy,  likely utilizes specialized equipment for morphological examination (microscopes, imaging systems), and potentially molecular biology laboratory equipment for genetic analysis. Access to large beetle collections and databases is essential for her work.

4. Interdisciplinary Impact: Her work connects to ecology (understanding species interactions and distributions), conservation biology (informing conservation strategies), and potentially agriculture (if research involves pest species).

5. Active Projects:  While specific current funding grants aren't listed directly, her position as Curator of Invertebrate Zoology at the Natural Science Research Laboratory at Texas Tech University suggests ongoing research projects in beetle taxonomy and systematics.  Further investigation into the Texas Tech University website or her ResearchGate profile would be needed to find details on specific ongoing projects and funding sources."
Sara Eftekharnejad," | Eftekharnejad, G.T. Heydt, and V. Vittal., “Optimal Generation Dispatch with High Penetration of Photovoltaic Generation”, IEEE Transactions on Sustainable Energy, Vol 6, Issue 3, pages 1013-1020, July 2015.; Eftekharnejad, V. Vittal, G.T. Heydt, B. Keel, and J. Loehr, “Impact of Increased Penetration of Photovoltaic Generation on Power Systems”, IEEE Transactions on Power Systems, Vol. 28, Issue 2, pages 893 – 901, May 2013.; Eftekharnejad, V. Vittal, G.T. Heydt, B. Keel, and J. Loehr, “Small Signal Stability Assessment of Power Systems with Increased Penetration of Photovoltaic Generation: A Case Study”, IEEE Transactions on Sustainable Energy, Vol. 4, Issue 4, pages 960 – 967, October 2013. | 1. Technical Expertise: Power system stability and control, integration of renewable energy resources (solar, wind) into power systems, power system reliability and security,  phasor measurement unit (PMU) data analysis,  application of deep reinforcement learning and other machine learning techniques to power system problems, algorithm design for power grid management, cyber-physical security of power grids,  data-driven modeling and forecasting for renewable energy.

2. Research Applications:  Developing enhanced methods to predict and mitigate uncertainties in the electric power grid; creating robust and secure power grids against cyberattacks and data intrusions; improving the integration of renewable energy sources to enhance power system stability and reliability;  designing advanced control strategies for load frequency control.  (Specific patent details were not readily available from public sources).

3. Specialized Knowledge: Expertise in power system modeling and simulation;  proficiency in using specialized software and tools for power system analysis;  deep understanding of PMU data analysis and its applications in power system monitoring and control;  application of advanced control theory and machine learning techniques to power system problems.

4. Interdisciplinary Impact:  Her research bridges electrical engineering, computer science, and potentially mathematics (through algorithm design and optimization), and potentially operations research.  Her work addresses the challenges of renewable energy integration, which has strong connections to environmental science and policy.

5. Active Projects:  Research on securing smart power grids under data measurement cyber threats (NSF funded);  research on the integration of renewable energy resources and power system stability;  Developing enhanced methods to predict and mitigate uncertainties in the electric power grid (NSF CAREER Award); ongoing research indicated on her lab webpage and ResearchGate profile (details may require deeper investigation into specific publications)."
Ehat Ercanli,"Embedded System Design; Computer Architecture; Database Systems; Design Automation; System Verification and Testing | Improving Memory Space Utilization in Multi-core Embedded Systems using Task Recomputation. Koc H, Tosun S, Kandemir M, and Ercanli E, International Journal of Computer Science and Network, Volume 1, Issue 5, pp. 27-34, Oct 2012.; Exploiting Large On-Chip Memory Space Through Data Recomputation, Koc H, Kandemir M, Ercanli E. In Proceedings of the 23rd IEEE International SoC Conference (SOCC 2010), pp. 513-518, Las Vegas, NV, Sept 2010.; An ILP Formulation for Recomputation Based SPM Management for Embedded CMPs. Koc H, Ercanli E, Kandemir M, Ozturk O; In Proceedings of the 5th Workshop on Optimizations for DSP and Embedded Systems (ODES’07). San Jose, CA. Mar 2007.; Reducing Off-Chip Memory Access Costs Using Data Recomputation in Embedded Chip Multi-processors. Koc H, Kandemir M, Ercanli E, Ozturk O; In Proceedings of the 44th Design Automation Conference (DAC’07). San Diego, CA. June 2007. (Ranked #3 in Most Popular Papers Category from ACM Digital Library’s Refereed Journals and Conference Proceedings Downloaded in September 2007).; Compiler-Directed Temporary Array Elimination. Koc H, Ercanli E, Kandemir M, Son SW. The 4th Workshop on Optimizations for DSP and Embedded Systems. NY. Feb 2006.; Minimizing Energy Consumption of Banked Memories Using Data Recomputation. Koc H, Ozturk O, Kandemir M, Narayanan S, Ercanli E. In Proceedings of Intl Symposium on Low Power Electronics and Design (ISLPED’06). Tegernsee, Germany. Oct 2006.; Automated Code Generation For Database Applications. Ercanli E, Ozgencil N, Kahraman MG. The 14th Intl Conference on Intelligent and Adaptive Systems and Software Engineering (ISCA’05). Toronto, Canada, June 2005.; A Register File and Scheduling Model for Application Specific Processor Synthesis. Ercanli E, Papachristou C. The 33rd IEEE/ACM Design Automation Conference (DAC’96), Las Vegas, NV, June 1996.; A Research Database For Improved Data Management And Analysis In Longitudinal Studies. Bielefeld R, Yamashita T, Kerekes E, Ercanli E, Singer L.  M.D. Computing. Vol. 12. NO. 3. 1995.; Custom Processor Design for Image Processing Applications. Ercanli E, Papachristou C. The 10th International Symposium on Computer and Information Sciences (ISCIS’95). Sept 1995. | 1. Technical Expertise: Computer Architecture, Embedded System Design, System Verification, VLSI Design Automation.  His methodologies involve data recomputation to exploit on-chip memory space and techniques for reducing off-chip memory access costs in embedded chip multi-processor systems.  Specific techniques are not explicitly detailed in readily available sources.

2. Research Applications:  His research focuses on improving the efficiency and performance of embedded systems. While no patents are directly attributed, his work has implications for the design of more efficient and power-saving embedded devices.

3. Specialized Knowledge:  He possesses expertise in areas related to embedded system design,  system verification, and VLSI design automation. Specific tools used are not detailed publicly, though the nature of his research implies familiarity with CAD tools for VLSI design and simulation software for embedded system verification.

4. Interdisciplinary Impact:  His research touches upon computer science, electrical engineering, and potentially computer engineering. There is mention of collaborations, indicating interdisciplinary connections. Further investigation would be needed to specifically name other fields of influence.

5. Active Projects:  Current research initiatives and grants are not explicitly listed in easily accessible sources.  However, his affiliation with Syracuse University suggests ongoing involvement in research projects within his areas of expertise.  One source mentions a grant involving hardware valued at $100,000."
Matthew Erdman,"Computational Fluid Dynamics; Heat and Mass Transfer; Multiphase Flow; Measurements and Instrumentation; Hydropower; Matthew Erdman earned his PhD from the Pennsylvania State University by utilizing commercial computational fluid dynamics software to improve the multiphase mass transfer models for Eulerian-Eulerian flow. His M.S. (also at Penn State) focused on improving the off-design efficiencies in hydraulic turbines. While at Penn State, he taught and coordinated the lab portion of the Measurement, Instrumentation and Statistics course for seven years. He then led the laboratory redesign of the above course as it transitioned into the Circuit Analysis, Instrumentation, and Statistics course. |  | 1. Technical Expertise: Computational Fluid Dynamics (CFD), Heat and Mass Transfer, Multiphase Flow, Measurements and experimental techniques.  The information indicates expertise in using commercial CFD software.

2. Research Applications:  The provided text mentions applications related to improving multiphase flow efficiency in hydraulic turbines (based on a news article mentioning his prior research at a different institution), and the analysis of wind-heel in traditional sailing vessels (from a publication listed on his Syracuse profile).  No patents are explicitly mentioned.

3. Specialized Knowledge:  Proficiency in commercial CFD software is highlighted as a key technical skill.  Specific software names are not mentioned.

4. Interdisciplinary Impact: His research seems to draw from mechanical and aerospace engineering principles, but connections to other fields are not detailed in available resources.

5. Active Projects:  Current research initiatives and grants are not explicitly listed in readily accessible online resources. His current role at Syracuse University is listed as Assistant Teaching Professor."
Makan Fardad,"Convex optimization; Complex networks; Dynamical systems; Control theory; Makan Fardad has expertise in convex optimization and its applications in the areas of distributed control, signal processing, and social networks. | Fardad, F. Lin, and M. R. Jovanovic, “Design of Optimal Sparse Interconnection Graphs for Synchronization of Oscillator Networks,” IEEE Transactions on Automatic Control, vol. 59, pp. 2457-2462, 2014.; Lin, M. Fardad, and M. R. Jovanovic, “Algorithms for Leader Selection in Stochastically Forced Consensus Networks,” IEEE Transactions on Automatic Control, vol. 59, pp. 1789-1802, 2014.; Lin, M. Fardad, and M. R. Jovanovic, “Design of Optimal Sparse Feedback Gains via the Alternating Direction Method of Multipliers,” IEEE Transactions on Automatic Control, vol. 58, pp. 2426-2431, 2013.; Lin, M. Fardad, and M. R. Jovanovic, “Optimal Control of Vehicular Formations with Nearest Neighbor Interactions,” IEEE Transactions on Automatic Control, vol. 57, pp. 2203-2218, 2012.; Fardad and M. R. Jovanovic, “Design of Optimal Controllers for Spatially Invariant Systems with Finite Communication Speed,” Automatica, vol. 47, pp. 880-889, 2011. | 1. Technical Expertise: Convex optimization, distributed control, signal processing, social networks, analysis and optimization of large-scale dynamical networks, modeling, synchronization and consensus in multi-agent systems.

2. Research Applications:  The provided text doesn't specify patents, but his research has applications in distributed control, signal processing, and social networks.  Further investigation into his publications would be needed to identify specific practical applications and patents.

3. Specialized Knowledge:  The specific tools and equipment used are not explicitly stated, but his research focuses on the theoretical analysis and optimization of large-scale networks, implying a strong computational background and likely use of specialized software for simulations and analysis.

4. Interdisciplinary Impact: His work connects electrical engineering and computer science with other fields, such as social networks (social sciences), and potentially control systems engineering and applied mathematics.

5. Active Projects:  The provided text does not list specific current research initiatives or grants.  To obtain this information, examination of his university profile, research publications, or grant databases would be required."
Jennifer Fazio," |  | The provided search results indicate that Jennifer Fazio at Syracuse University works in career services, not research.  Therefore, a technical expertise profile based on research methodologies, patents, specialized tools, interdisciplinary connections, and active research projects cannot be created.  The information available suggests expertise in employer relations, career services, and potentially student engagement.  No information related to the research criteria was found."
Yoanna Ferrara," |  | 1. Technical Expertise:  Based on available information, Yoanna Ferrara's expertise lies in research administration and development, not in specific scientific methodologies or techniques. Her technical expertise focuses on grant writing, proposal development, and the management of research projects.

2. Research Applications:  Yoanna Ferrara's work facilitates the practical application of research conducted by faculty and students within the Syracuse University College of Engineering and Computer Science.  She does not directly conduct research leading to patents or specific applications herself.

3. Specialized Knowledge:  Yoanna Ferrara possesses specialized knowledge in research funding opportunities, grant proposal writing, and research project management within the context of a large university. This includes understanding complex funding regulations and navigating the processes for obtaining external grants.

4. Interdisciplinary Impact:  Given her role, Yoanna Ferrara's impact is interdisciplinary, as she supports research across various engineering and computer science disciplines.  Her work facilitates the collaboration and knowledge exchange between different research groups and fields.

5. Active Projects:  The specific research projects she is actively involved in are not publicly available.  Her work focuses on supporting and advancing various research initiatives within the Syracuse University College of Engineering and Computer Science by securing funding and managing research projects."
